study_id,Title,link,old_new,ISO,study_loc,study_type,duration_months,vaccine_class,n_doses,strata_age,age_lb,age_ub,age_class,TL,TR,yearid,ve_est,ve_lb,ve_ub,2nd_reviewer_initials,included_main,note1,note2
"Franke et al, 2018k","Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",https://pubmed.ncbi.nlm.nih.gov/30103980/,new,HTI,Artibonite and Central Department,Observational,48,WC,1,1,1,5,1,0,48,,-69,-786,68,,1,extracted from text at the top of page 5 of appendix(but this is unadjusted estimate),
"Franke et al, 2018l","Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",https://pubmed.ncbi.nlm.nih.gov/30103980/,new,HTI,Artibonite and Central Department,Observational,48,WC,2,1,1,5,1,0,48,,28,-109,75,,1,extracted from text at the top of page 5 of appendix(but this is unadjusted estimate),
"Franke et al, 2018m","Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",https://pubmed.ncbi.nlm.nih.gov/30103980/,new,HTI,Artibonite and Central Department,Observational,48,WC,1,1,5,,4,0,48,,97,70,100,,1,extracted from appendix table 2 (calculated from OR),
"Qadri et al, 2018a",Efficacy of a single-dose regimen of inactivated whole-cell oral cholera vaccine: results from 2 years of follow-up of a randomised trial,https://pubmed.ncbi.nlm.nih.gov/29550406/,new,BGD,Dhaka,Randomized,24,WC,1,0,1,,0,0,24,,39,23,52,at,1,"all ages, overall, all cholera episodes","one dose, 2 years of f/u"
"Qadri et al, 2018b",Efficacy of a single-dose regimen of inactivated whole-cell oral cholera vaccine: results from 2 years of follow-up of a randomised trial,https://pubmed.ncbi.nlm.nih.gov/29550406/,new,BGD,Dhaka,Randomized,24,WC,1,1,1,5,1,0,24,,-13,-68,25,at,1,"U5, overall","one dose, 2 years of f/u"
"Qadri et al, 2018c",Efficacy of a single-dose regimen of inactivated whole-cell oral cholera vaccine: results from 2 years of follow-up of a randomised trial,https://pubmed.ncbi.nlm.nih.gov/29550406/,new,BGD,Dhaka,Randomized,24,WC,1,1,5,15,2,0,24,,52,8,75,at,1,"5-15, overall","one dose, 2 years of f/u"
"Qadri et al, 2018d",Efficacy of a single-dose regimen of inactivated whole-cell oral cholera vaccine: results from 2 years of follow-up of a randomised trial,https://pubmed.ncbi.nlm.nih.gov/29550406/,new,BGD,Dhaka,Randomized,24,WC,1,1,15,,3,0,24,,59,42,71,at,1,"15+, overall","one dose, 2 years of f/u"
"Qadri et al, 2018e",Efficacy of a single-dose regimen of inactivated whole-cell oral cholera vaccine: results from 2 years of follow-up of a randomised trial,https://pubmed.ncbi.nlm.nih.gov/29550406/,new,BGD,Dhaka,Randomized,24,WC,1,1,5,,4,0,6,1,58,24,76,at,0,"5+,6m","one dose, 2 years of f/u"
"Qadri et al, 2018f",Efficacy of a single-dose regimen of inactivated whole-cell oral cholera vaccine: results from 2 years of follow-up of a randomised trial,https://pubmed.ncbi.nlm.nih.gov/29550406/,new,BGD,Dhaka,Randomized,24,WC,1,1,5,,4,6,12,1,37,-20,67,at,0,"5+, 12m","one dose, 2 years of f/u"
"Qadri et al, 2018g",Efficacy of a single-dose regimen of inactivated whole-cell oral cholera vaccine: results from 2 years of follow-up of a randomised trial,https://pubmed.ncbi.nlm.nih.gov/29550406/,new,BGD,Dhaka,Randomized,24,WC,1,1,5,,4,12,18,2,62,34,78,at,0,"5+, 18m","one dose, 2 years of f/u"
"Qadri et al, 2018h",Efficacy of a single-dose regimen of inactivated whole-cell oral cholera vaccine: results from 2 years of follow-up of a randomised trial,https://pubmed.ncbi.nlm.nih.gov/29550406/,new,BGD,Dhaka,Randomized,24,WC,1,1,5,,4,18,24,2,67,30,84,at,0,"5+, 24m","one dose, 2 years of f/u"
"Qadri et al, 2018i",Efficacy of a single-dose regimen of inactivated whole-cell oral cholera vaccine: results from 2 years of follow-up of a randomised trial,https://pubmed.ncbi.nlm.nih.gov/29550406/,new,BGD,Dhaka,Randomized,24,WC,1,1,5,,4,0,12,1,50,23,67,at,0,"5+, 1 year","one dose, 2 years of f/u"
"Qadri et al, 2018j",Efficacy of a single-dose regimen of inactivated whole-cell oral cholera vaccine: results from 2 years of follow-up of a randomised trial,https://pubmed.ncbi.nlm.nih.gov/29550406/,new,BGD,Dhaka,Randomized,24,WC,1,1,5,,4,12,24,2,64,43,77,at,0,"5+, 2 years","one dose, 2 years of f/u"
Malembaka et al. 2023a,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,1,0,1,,0,12,17,2,52.7,31.4,67.4,aa,0,updated based on Espoir's proof version (1.1.2024),SP1
Malembaka et al. 2023b,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,1,1,1,5,1,12,17,2,73.5,28.9,90.1,aa,0,updated based on Espoir's proof version (1.1.2024),SP1
Malembaka et al. 2023c,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,1,1,5,,4,12,17,2,46.9,21,64.3,aa,0,updated based on Espoir's proof version (1.1.2024),SP1
Malembaka et al. 2023d,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,1,0,1,,0,24,36,3,45.5,25.8,60,aa,0,updated based on Espoir's proof version (1.1.2024),SP2
Malembaka et al. 2023e,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,1,1,1,5,1,24,36,3,33.1,-30,65.6,aa,0,updated based on Espoir's proof version (1.1.2024),SP2
Malembaka et al. 2023f,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,1,1,5,,4,24,36,3,48.3,27.2,63.3,aa,0,updated based on Espoir's proof version (1.1.2024),SP2
Malembaka et al. 2023g,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,1,0,1,,0,12,36,,48.2,34.8,58.8,aa,1,updated based on Espoir's proof version (1.1.2024),SP1 + SP2
Malembaka et al. 2023h,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,1,1,1,5,1,12,36,,49.8,15.6,70.2,aa,1,updated based on Espoir's proof version (1.1.2024),SP1 + SP2
Malembaka et al. 2023i,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,1,1,5,,4,12,36,,47.8,32.8,59.5,aa,1,,SP1 + SP2
Malembaka et al. 2023j,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,2,0,1,,0,12,17,2,57.9,26.5,76.9,aa,0,updated based on Espoir's proof version (1.1.2024),SP1
Malembaka et al. 2023k,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,2,1,1,5,1,12,17,2,19.4,-149.7,74,aa,0,updated based on Espoir's proof version (1.1.2024),SP1
Malembaka et al. 2023l,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,2,1,5,,4,12,17,2,63.1,30.7,80.4,aa,0,updated based on Espoir's proof version (1.1.2024),SP1
Malembaka et al. 2023m,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,2,0,1,,0,24,36,3,24.8,-18.8,52.4,aa,0,updated based on Espoir's proof version (1.1.2024),SP2
Malembaka et al. 2023n,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,2,1,1,5,1,24,36,3,-147.2,-497.9,-2.2,aa,0,updated based on Espoir's proof version (1.1.2024),SP2
Malembaka et al. 2023o,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,2,1,5,,4,24,36,3,44.7,7.3,67,aa,0,updated based on Espoir's proof version (1.1.2024),SP2
Malembaka et al. 2023p,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,2,0,1,,0,12,36,,40.2,15.7,57.6,aa,1,updated based on Espoir's proof version (1.1.2024),SP1 + SP2
Malembaka et al. 2023q,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,2,1,1,5,1,12,36,,-41.8,-176.1,27.2,aa,1,updated based on Espoir's proof version (1.1.2024),SP1 + SP2
Malembaka et al. 2023r,Effectiveness of one dose of killed oral cholera vaccine in an endemic community in the Democratic Republic of Congo: A matched case-control study,https://www.medrxiv.org/content/10.1101/2023.08.07.23293369v3,new,COD,Uvira,Observational,36,WC,2,1,5,,4,12,36,,51.3,28.2,67,aa,1,,SP1 + SP2
Ali et al. 2015a,Validity of the estimates of oral cholera vaccine effectiveness derived from the test-negative design,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/625736171/1-s2.0-S0264410X15017764-main.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20230501%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20230501T171715Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=08538671d51483da40d616afc909d4ce1a4ad94f0d10a7f79817f5d2b468088f,new,TZA,Zanzibar,Observational,15,WC-rBS,2,1,1,5,1,0,15,1,64,-1095,99,at,0,,Included in the spreadsheet to be comprehensive & b/c it presents stratified estimate.  Will not be included in analysis (reanalysis and WC-rBS).
Ali et al. 2015b,Validity of the estimates of oral cholera vaccine effectiveness derived from the test-negative design,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/625736171/1-s2.0-S0264410X15017764-main.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20230501%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20230501T171715Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=08538671d51483da40d616afc909d4ce1a4ad94f0d10a7f79817f5d2b468088f,new,TZA,Zanzibar,Observational,15,WC-rBS,2,1,5,15,2,0,15,1,84,1,97,at,0,"both islands, Unguja and Pemba ",Included in the spreadsheet to be comprehensive & b/c it presents stratified estimate.  Will not be included in analysis (reanalysis and WC-rBS).
Ali et al. 2015c,Validity of the estimates of oral cholera vaccine effectiveness derived from the test-negative design,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/625736171/1-s2.0-S0264410X15017764-main.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20230501%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20230501T171715Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=08538671d51483da40d616afc909d4ce1a4ad94f0d10a7f79817f5d2b468088f,new,TZA,Zanzibar,Observational,15,WC-rBS,2,1,15,,3,0,15,1,100,,,at,0,"both islands, Unguja and Pemba ",Included in the spreadsheet to be comprehensive & b/c it presents stratified estimate.  Will not be included in analysis (reanalysis and WC-rBS).
"Matias et al, 2023a",Effectiveness of the Euvichol oral cholera vaccine at 2 years: a case-control and bias-indicator study in Haiti,https://pubmed.ncbi.nlm.nih.gov/38000510/,new,HTI,Central Department,Observational,27,WC,2,0,1,,0,10,27,2,69,-71,94,,1,,
"Matias et al, 2023b",Effectiveness of the Euvichol oral cholera vaccine at 2 years: a case-control and bias-indicator study in Haiti,https://pubmed.ncbi.nlm.nih.gov/38000510/,new,HTI,Central Department,Observational,27,WC,1,0,1,,0,10,27,2,-90,-1140,72,,0,This is only based on 4 cases and really has no power,
